compared,azteca retas,bomberos,cancha azteca,garrafa,beisbol azteca,iglesia azteca,awa,skaus,bethel playas,mural acordeon,danza pavlova,parque lluvia,iglesia renovación,iglesia jesucristo,cbtis,arriba de cbtis,parque bc,peewee wings,iglesia testigos,cinepolis,fuente xocolatl,nopales,royal academy,pozito,le monde de jouet,eliza grill kitchen,la casa del maestro,mural casa de la cultura,mural danza,mural personas,beaven,dino,Iglesia playa,Aquamarino,Callejón playa,Bar La Zebra,Mural Ballena Playa,Mural Pescado,Cancha Playa,Motel Monumental,Clamatos playa,Pizza NY,Pizzas del Pacifico,Jim Morrison,Mural Máscara,Estatuas Playa,Mural Ballenas,Mural Cantinflas,Mural Pez Postal,Corazón Teletón,Lesly Grafiti,Mural Steve Jobs,Kotiki,Mural Mándela,Última Oportunidad,Mándale Minotauro,Corazón Playa,Corazón Vegetal,Terraza Vallarta,Gym Playa
azteca retas,0.0,109.02254078859103,112.30942836645548,318.9515665426336,483.7397194773239,439.09791254343264,351.36996001365856,293.4002592023395,318.20184238938657,296.9576799815085,264.73772020624483,382.60337753344515,574.0315500911079,833.061691112969,584.5144307029553,600.8214218051816,606.4122572145124,811.4282633110582,843.9071534238824,1111.4065134324162,984.8373866278637,889.2377088270605,654.1248519969258,596.1357167625506,512.9164178499262,457.94352632175077,357.0436525132466,222.04199422631748,191.23494581273584,254.14579536163885,333.33011040108573,357.32332935312246,1090.7773599594007,1174.8605681101058,1192.4580866428807,1247.022598431961,1206.958864626297,1265.1969482258482,1229.4343032468225,1256.3021480917719,1274.7160079798166,1304.2263387924659,1309.0899809027644,1352.9573832164856,1404.586178559365,1418.5785734318704,1438.220388466246,1443.375700224997,1475.6533984984417,1516.2176234300932,1318.3441854842006,1419.7036831677235,1577.7954641841254,1604.1948115176037,1624.3948636338396,1641.535347471994,1665.1677905244264,1694.8627715835878,1692.2176448967787,1758.744870298134
bomberos,109.02254078859103,0.0,98.17622166288533,341.6398176442553,513.9245713137288,493.0044283776769,410.71365986536165,348.68235243556563,416.1307545712044,399.7462526403468,373.3381471267033,491.23073936796743,675.2528842589271,933.202677450081,691.760356265087,694.6007720266368,697.2623756520926,917.2855854639819,947.9892288417627,1014.0622241756173,891.9935215571916,790.2043738173055,546.3745986042909,492.7431135997742,415.976886016519,356.61156248781396,250.44282261626108,114.92520698262851,82.66822908469739,191.88078199757265,284.5205885344679,303.3916816592044,1094.4870306221083,1183.9668666394343,1186.6350052143243,1234.88059835759,1191.0708679587458,1251.3762939260116,1209.0521737294882,1233.232455176233,1251.3859667584577,1283.0066289774188,1282.5550586622003,1326.768244419499,1372.5714676474954,1382.0025760468034,1403.5232627213556,1405.0630027155366,1437.724938679162,1475.3115318467485,1278.8805599429527,1372.9189470613333,1529.4724582025005,1557.7068366351866,1574.121377086278,1592.3323688853404,1615.4351198980414,1643.0046097622492,1639.3644779913955,1703.7687806741853
cancha azteca,112.30942836645548,98.17622166288533,0.0,243.71357307298257,415.87203188000035,396.95783567023835,316.9161897095193,254.50534689864574,350.57216689292375,343.01875313166187,337.12717837635097,466.3602423020212,610.310672526706,864.600326914118,672.9154850350822,707.7272370058961,714.8885927191731,860.9049370284736,886.8122881985793,1012.7894794082333,882.316822915669,793.3450241225441,579.6043886134748,509.4160681603987,417.48671092622817,369.74575751453864,321.4989662502821,163.165214736475,145.3107731725353,143.94602113292333,221.1258700378588,245.01511871719268,1002.662725197262,1090.5531121408073,1098.4685902200392,1149.5440261686372,1107.500459593584,1166.851011783424,1127.8296006489634,1153.5098817088651,1171.8260147735243,1202.304315262987,1204.8732580649303,1248.9168344209313,1298.3340487332218,1310.7951205661395,1331.05902667763,1335.0723153822044,1367.4827941879196,1407.2073196583367,1209.6318645356528,1309.2256239854153,1467.0617960058805,1493.8482258917738,1513.3130469602118,1530.6518149141561,1554.1929617972153,1583.5347504870238,1580.7382850427834,1646.9943903061724
garrafa,318.9515665426336,341.6398176442553,243.71357307298257,0.0,172.4010730825072,182.07227191420446,138.69274025701569,104.67619834518257,305.7043462236021,330.21344566810114,383.03324881790616,510.6674241617532,518.6401689996641,743.0503440548291,707.055544989218,811.27911750519,827.2776968467118,778.6635962339578,788.3592289051992,1030.022199032623,884.8588064205499,832.1243441938229,700.0077206717081,603.1989113053835,493.5757138474299,478.4054478159713,528.3215907002099,371.9954056167898,369.34829429686016,241.60399851823647,212.25142567247926,234.85212900887228,772.6501979550643,855.9202040494196,877.9873594762057,936.5562383541097,899.9148006894874,955.9770813152373,926.6887431063356,956.3083982168096,974.8574927649681,1001.7753833070565,1012.7809986862906,1055.825440212538,1114.6802355832815,1135.344004960611,1151.894126037632,1162.6503227540084,1193.9629775248477,1239.0269237591247,1041.115237809917,1154.4571483602153,1313.5238681500996,1336.090135469909,1363.4937255447858,1378.2923196477589,1402.7296271199234,1436.4507819274559,1435.9267820122304,1506.333742900291
beisbol azteca,483.7397194773239,513.9245713137288,415.87203188000035,172.4010730825072,0.0,118.41746915045938,174.45739021319793,205.26124354100557,370.35205102712735,408.7916570821865,483.46061401111047,593.1754554092743,505.3657567544521,685.1377404580774,767.3011748329335,908.0778934100312,928.5485021796114,751.3800509063306,747.4325645835885,1087.0082504286709,937.3815050981111,909.6699758703702,826.6906319778881,721.8640455099561,611.6650872005039,611.743441730273,692.7759652297416,540.2020024028049,539.9585455384515,399.81215301688866,343.87644888825986,358.1674364037021,622.4166270272669,698.6981122773984,738.2136412990484,804.5198443792422,774.5204158058068,825.9857783279322,807.7873874974775,840.9871024575824,859.4167624616127,882.131305532232,901.6330617828962,942.8959566145144,1010.0801306827098,1038.2439337650858,1050.9847140658137,1067.9224088855894,1097.68582759367,1146.9676624037838,952.4711382503934,1076.078161938063,1233.4477179840255,1251.9526058521544,1285.9230919460151,1298.298575367007,1323.1791972367157,1360.2311664198846,1361.6624812705973,1434.6881671638616
iglesia azteca,439.09791254343264,493.0044283776769,396.95783567023835,182.07227191420446,118.41746915045938,0.0,88.98651583245633,146.21535247709113,262.28402791630293,303.8705831435481,384.72839887380286,484.6327748924952,389.16568926358354,583.2376507050963,651.7283170923296,801.1114297649234,823.1147169744931,639.5814979343916,639.567580479186,1181.7573741255014,1033.4163490578228,994.5779054453201,880.5327317028027,781.5253864078888,671.2378875629712,659.6082759486876,703.1092553792761,543.7429642763205,536.0127909854391,422.56647299566964,391.12825888703054,411.4889311998562,714.9429153435958,782.9185467850408,837.5731478503834,907.9366062671997,881.3318959960544,930.320516918766,917.019206996233,951.3190924710805,969.6249086115723,990.7174105667063,1013.0509496071755,1053.600683371077,1122.9949372103154,1152.841448335373,1164.7092231969316,1182.9365670229322,1212.3320753407459,1262.3439357005682,1068.7534369535379,1193.4614075034012,1350.4911588011228,1368.4583983811856,1403.1990510971707,1415.2934537402482,1440.2052857145054,1477.5919895898191,1479.2097402667414,1552.4190481954286
awa,351.36996001365856,410.71365986536165,316.9161897095193,138.69274025701569,174.45739021319793,88.98651583245633,0.0,62.433687220922685,198.89691626568765,235.2061633971354,309.1077755411532,420.3853309762365,382.15481378624554,604.630377338089,601.7927444727129,734.1664980779223,754.28895345219,641.3561666500136,649.8784886423,1167.5380144988858,1021.618466209377,970.7889214448217,831.7511380214638,738.0257350526471,629.2566389796774,609.4164107570456,630.919428294929,470.4006666661943,459.5043025913904,362.4291932226211,348.56357655383334,372.3152219558046,792.7738392505141,864.5635563103501,911.445850284042,978.7369273711911,948.9740117094883,1000.3286201044135,981.9708274689223,1014.8695776798121,1033.3293934656074,1056.4115692285843,1075.0641499464114,1116.6013612744703,1182.577493866681,1209.1933579870508,1222.8054181266943,1238.3384487287794,1268.5274584730123,1316.8133854119192,1121.0029656517418,1241.5889413167306,1399.82845020381,1419.6687698544335,1451.5351173843505,1464.7506314045406,1489.5190005501777,1525.4809194808045,1526.2170198566125,1598.3803068106163
skaus,293.4002592023395,348.68235243556563,254.50534689864574,104.67619834518257,205.26124354100557,146.21535247709113,62.433687220922685,0.0,201.711701693283,228.92213217598683,289.96596007117796,412.4446076747761,419.2177384128683,652.8106819744909,604.9365169999246,719.5354379042077,737.4436680859087,679.716513996828,692.5876722119735,1130.4704955017623,986.4256551813725,928.8281032031707,777.5472547054616,686.5642464474829,579.0522264873869,555.3107130246993,569.0724675294,408.47814201007134,397.15782505195597,305.3694303626347,301.0977920875542,326.3812151457249,827.5394393622578,903.63627660691,941.5190131378124,1005.4628534660045,972.7342784131749,1026.2012319715855,1003.0894610651634,1034.584640326735,1053.1216439234358,1077.9694023950772,1093.1837746692,1135.489093430668,1198.2069165632452,1221.9277710650495,1237.0185336121688,1250.1784258656842,1280.9722473184188,1327.6616970071857,1130.5271717654557,1247.3560997966858,1406.1951170801299,1427.543400671237,1456.9725827550772,1471.0812225366756,1495.6831592620142,1530.4100637410877,1530.4279953660023,1601.6177135946018
bethel playas,318.20184238938657,416.1307545712044,350.57216689292375,305.7043462236021,370.35205102712735,262.28402791630293,198.89691626568765,201.711701693283,0.0,44.92399358917236,132.48950524475515,223.00522191195432,260.17823121852456,517.1163599229868,404.7001312082813,539.021049125171,560.8309657998567,511.5997908521856,536.240485323516,1317.7297896761688,1176.624376171087,1109.1238962803027,925.5899159455012,846.2182763920902,744.5582886517348,708.4333234680594,665.0245328557436,512.0935517071075,489.14435190442504,457.52415105653165,481.39842646190687,508.47597013034937,975.9625353977477,1040.4894987456623,1099.767754073559,1170.131756897487,1142.8130518155626,1192.4067650344825,1177.4490904068846,1211.0633252642076,1229.4599784051532,1251.5139077533256,1271.947154012304,1313.0902540571992,1380.334177835208,1407.690593312323,1420.9613398330018,1436.9825519121657,1467.0630814658243,1515.5750677878018,1319.8835595991034,1440.3177824702436,1598.6373858070504,1618.5612900968563,1650.2471216457247,1663.5612866678523,1688.3161558487793,1724.1295197867241,1724.7460048366543,1796.7198861536542
mural acordeon,296.9576799815085,399.7462526403468,343.01875313166187,330.21344566810114,408.7916570821865,303.8705831435481,235.2061633971354,228.92213217598683,44.92399358917236,0.0,87.68842226884917,185.46189527770926,277.1731480500953,536.3881312072443,376.85623916820066,499.29425492388754,520.1509444382467,518.9905101251853,548.2570168269624,1327.9716618211398,1188.7536468924081,1116.3834132142954,921.9804581985455,846.6884542144176,747.6424953144383,707.8087341930728,650.0767518531947,501.23110368371994,476.13071503527266,460.1111278810805,492.5090287497276,519.9149116922882,1018.4953669506797,1084.0231470775889,1141.3415569845863,1210.8904443012175,1182.6847039680524,1232.9488544542307,1216.552515142688,1249.7539102559351,1268.1919361437367,1290.8251486936563,1310.1676324043424,1351.5962367881912,1417.7793714467705,1444.1128619675126,1457.926990798922,1473.0869082644108,1503.4051201855075,1551.335409413451,1355.0658115752165,1474.05245717376,1632.6444595502107,1653.1849808778204,1683.8767894653101,1697.5637815705188,1722.2534013611353,1757.553507862563,1757.8644409623853,1829.421847387857
